Ma_TSN,Ten_TSN,type,Ma_toa_cha,Ten_toa_cha,Ma_SSN,Ten_SSN,Tinh
D01.81.02,"Tòa án nhân dân thành phố Sầm Sơn, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.04,"Tòa án nhân dân khu vực 4 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.03,"Tòa án nhân dân thị xã Bỉm Sơn, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.06,"Tòa án nhân dân khu vực 6 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.04,"Tòa án nhân dân thị xã Nghi Sơn, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.09,"Tòa án nhân dân khu vực 9 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.05,"Tòa án nhân dân huyện Bá Thước, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.12,"Tòa án nhân dân khu vực 12 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.06,"Tòa án nhân dân huyện Cẩm Thuỷ, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.12,"Tòa án nhân dân khu vực 12 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.08,"Tòa án nhân dân huyện Hà Trung, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.06,"Tòa án nhân dân khu vực 6 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.09,"Tòa án nhân dân huyện Hậu Lộc, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.05,"Tòa án nhân dân khu vực 5 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.10,"Tòa án nhân dân huyện Hoằng Hoá, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.04,"Tòa án nhân dân khu vực 4 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.11,"Tòa án nhân dân huyện Lang Chánh, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.11,"Tòa án nhân dân khu vực 11 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.12,"Tòa án nhân dân huyện Mường Lát, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.13,"Tòa án nhân dân khu vực 13 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.13,"Tòa án nhân dân huyện Nga Sơn, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.05,"Tòa án nhân dân khu vực 5 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.14,"Tòa án nhân dân huyện Ngọc Lặc, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.10,"Tòa án nhân dân khu vực 10 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.15,"Tòa án nhân dân huyện Như Thanh, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.09,"Tòa án nhân dân khu vực 9 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.16,"Tòa án nhân dân huyện Như Xuân, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.10,"Tòa án nhân dân khu vực 10 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.17,"Tòa án nhân dân huyện Nông Cống, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.02,"Tòa án nhân dân khu vực 2 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.18,"Tòa án nhân dân huyện Quan Hoá, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.13,"Tòa án nhân dân khu vực 13 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.19,"Tòa án nhân dân huyện Quan Sơn, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.11,"Tòa án nhân dân khu vực 11 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.20,"Tòa án nhân dân huyện Quảng Xương, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.02,"Tòa án nhân dân khu vực 2 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.21,"Tòa án nhân dân huyện Thạch Thành, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.07,"Tòa án nhân dân khu vực 7 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.22,"Tòa án nhân dân huyện Thiệu Hoá, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.03,"Tòa án nhân dân khu vực 3 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.23,"Tòa án nhân dân huyện Thọ Xuân, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.08,"Tòa án nhân dân khu vực 8 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.24,"Tòa án nhân dân huyện Thường Xuân, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.10,"Tòa án nhân dân khu vực 10 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.25,"Tòa án nhân dân huyện Triệu Sơn, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.03,"Tòa án nhân dân khu vực 3 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.26,"Tòa án nhân dân huyện Vĩnh Lộc, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.07,"Tòa án nhân dân khu vực 7 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.81.27,"Tòa án nhân dân huyện Yên Định, tỉnh Thanh Hóa",OLD,D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",D01.151.08,"Tòa án nhân dân khu vực 8 - Thanh Hóa","Tỉnh Thanh Hóa"
D01.82.02,"Tòa án nhân dân huyện A Lưới, tỉnh Thừa Thiên - Huế",OLD,D01.82,"Tòa án nhân dân tỉnh Thừa Thiên - Huế",D01.135.03,"Tòa án nhân dân khu vực 3 - Huế","Thành phố Huế"
D01.82.03,"Tòa án nhân dân huyện Hương Thuỷ, tỉnh Thừa Thiên - Huế",OLD,D01.82,"Tòa án nhân dân tỉnh Thừa Thiên - Huế",D01.135.04,"Tòa án nhân dân khu vực 4 - Huế","Thành phố Huế"
D01.82.04,"Tòa án nhân dân huyện Hương Trà, tỉnh Thừa Thiên - Huế",OLD,D01.82,"Tòa án nhân dân tỉnh Thừa Thiên - Huế",D01.135.03,"Tòa án nhân dân khu vực 3 - Huế","Thành phố Huế"
D01.82.06,"Tòa án nhân dân huyện Phong Điền, tỉnh Thừa Thiên - Huế",OLD,D01.82,"Tòa án nhân dân tỉnh Thừa Thiên - Huế",D01.135.03,"Tòa án nhân dân khu vực 3 - Huế","Thành phố Huế"
D01.82.07,"Tòa án nhân dân huyện Phú Lộc, tỉnh Thừa Thiên - Huế",OLD,D01.82,"Tòa án nhân dân tỉnh Thừa Thiên - Huế",D01.135.04,"Tòa án nhân dân khu vực 4 - Huế","Thành phố Huế"
D01.82.08,"Tòa án nhân dân huyện Phú Vang, tỉnh Thừa Thiên - Huế",OLD,D01.82,"Tòa án nhân dân tỉnh Thừa Thiên - Huế",D01.135.01,"Tòa án nhân dân khu vực 1 - Huế","Thành phố Huế"
D01.82.09,"Tòa án nhân dân huyện Quảng Điền, tỉnh Thừa Thiên - Huế",OLD,D01.82,"Tòa án nhân dân tỉnh Thừa Thiên - Huế",D01.135.02,"Tòa án nhân dân khu vực 2 - Huế","Thành phố Huế"
D01.83.01,"Tòa án nhân dân thành phố Mỹ Tho, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.01,"Tòa án nhân dân khu vực 1 - Đồng Tháp","Tỉnh Tiền Giang"
D01.83.02,"Tòa án nhân dân thị xã Cai Lậy, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.04,"Tòa án nhân dân khu vực 4 - Đồng Tháp","Tỉnh Tiền Giang"
D01.83.03,"Tòa án nhân dân thị xã Gò Công, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.02,"Tòa án nhân dân khu vực 2 - Đồng Tháp","Tỉnh Tiền Giang"
D01.83.04,"Tòa án nhân dân huyện Cái Bè, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.05,"Tòa án nhân dân khu vực 5 - Đồng Tháp","Tỉnh Tiền Giang"
D01.83.06,"Tòa án nhân dân huyện Châu Thành, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.03,"Tòa án nhân dân khu vực 3 - Đồng Tháp","Tỉnh Tiền Giang"
D01.83.07,"Tòa án nhân dân huyện Chợ Gạo, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.01,"Tòa án nhân dân khu vực 1 - Đồng Tháp","Tỉnh Tiền Giang"
D01.83.08,"Tòa án nhân dân huyện Gò Công Đông, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.02,"Tòa án nhân dân khu vực 2 - Đồng Tháp","Tỉnh Tiền Giang"
D01.83.09,"Tòa án nhân dân huyện Gò Công Tây, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.02,"Tòa án nhân dân khu vực 2 - Đồng Tháp","Tỉnh Tiền Giang"
D01.83.10,"Tòa án nhân dân huyện Tân Phú Đông, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.02,"Tòa án nhân dân khu vực 2 - Đồng Tháp","Tỉnh Tiền Giang"
D01.83.11,"Tòa án nhân dân huyện Tân Phước, tỉnh Tiền Giang",OLD,D01.83,"Tòa án nhân dân tỉnh Tiền Giang",D01.129.03,"Tòa án nhân dân khu vực 3 - Đồng Tháp","Tỉnh Tiền Giang"
D01.84.01,"Tòa án nhân dân thành phố Trà Vinh, tỉnh Trà Vinh",OLD,D01.84,"Tòa án nhân dân tỉnh Trà Vinh",D01.153.10,"Tòa án nhân dân khu vực 10 - Vĩnh Long","Tỉnh Trà Vinh"
D01.84.02,"Tòa án nhân dân thị xã Duyên Hải, tỉnh Trà Vinh",OLD,D01.84,"Tòa án nhân dân tỉnh Trà Vinh",D01.153.14,"Tòa án nhân dân khu vực 14 - Vĩnh Long","Tỉnh Trà Vinh"
D01.84.03,"Tòa án nhân dân huyện Càng Long, tỉnh Trà Vinh",OLD,D01.84,"Tòa án nhân dân tỉnh Trà Vinh",D01.153.11,"Tòa án nhân dân khu vực 11 - Vĩnh Long","Tỉnh Trà Vinh"
D01.84.04,"Tòa án nhân dân huyện Cầu Kè, tỉnh Trà Vinh",OLD,D01.84,"Tòa án nhân dân tỉnh Trà Vinh",D01.153.12,"Tòa án nhân dân khu vực 12 - Vĩnh Long","Tỉnh Trà Vinh"
D01.84.05,"Tòa án nhân dân huyện Cầu Ngang, tỉnh Trà Vinh",OLD,D01.84,"Tòa án nhân dân tỉnh Trà Vinh",D01.153.13,"Tòa án nhân dân khu vực 13 - Vĩnh Long","Tỉnh Trà Vinh"
D01.84.06,"Tòa án nhân dân huyện Châu Thành, tỉnh Trà Vinh",OLD,D01.84,"Tòa án nhân dân tỉnh Trà Vinh",D01.153.10,"Tòa án nhân dân khu vực 10 - Vĩnh Long","Tỉnh Trà Vinh"
D01.84.08,"Tòa án nhân dân huyện Tiểu Cần, tỉnh Trà Vinh",OLD,D01.84,"Tòa án nhân dân tỉnh Trà Vinh",D01.153.12,"Tòa án nhân dân khu vực 12 - Vĩnh Long","Tỉnh Trà Vinh"
D01.84.09,"Tòa án nhân dân huyện Trà Cú, tỉnh Trà Vinh",OLD,D01.84,"Tòa án nhân dân tỉnh Trà Vinh",D01.153.13,"Tòa án nhân dân khu vực 13 - Vĩnh Long","Tỉnh Trà Vinh"
D01.85.01,"Tòa án nhân dân thành phố Tuyên Quang, tỉnh Tuyên Quang",OLD,D01.85,"Tòa án nhân dân tỉnh Tuyên Quang",D01.152.01,"Tòa án nhân dân khu vực 1 - Tuyên Quang","Tỉnh Tuyên Quang"
D01.85.02,"Tòa án nhân dân huyện Chiêm Hoá, tỉnh Tuyên Quang",OLD,D01.85,"Tòa án nhân dân tỉnh Tuyên Quang",D01.152.02,"Tòa án nhân dân khu vực 2 - Tuyên Quang","Tỉnh Tuyên Quang"
D01.85.03,"Tòa án nhân dân huyện Hàm Yên, tỉnh Tuyên Quang",OLD,D01.85,"Tòa án nhân dân tỉnh Tuyên Quang",D01.152.02,"Tòa án nhân dân khu vực 2 - Tuyên Quang","Tỉnh Tuyên Quang"
D01.85.04,"Tòa án nhân dân huyện Lâm Bình, tỉnh Tuyên Quang",OLD,D01.85,"Tòa án nhân dân tỉnh Tuyên Quang",D01.152.03,"Tòa án nhân dân khu vực 3 - Tuyên Quang","Tỉnh Tuyên Quang"
D01.85.06,"Tòa án nhân dân huyện Sơn Dương, tỉnh Tuyên Quang",OLD,D01.85,"Tòa án nhân dân tỉnh Tuyên Quang",D01.152.01,"Tòa án nhân dân khu vực 1 - Tuyên Quang","Tỉnh Tuyên Quang"
D01.85.07,"Tòa án nhân dân huyện Yên Sơn, tỉnh Tuyên Quang",OLD,D01.85,"Tòa án nhân dân tỉnh Tuyên Quang",D01.152.01,"Tòa án nhân dân khu vực 1 - Tuyên Quang","Tỉnh Tuyên Quang"
D01.86.01,"Tòa án nhân dân thành phố Vĩnh Long, tỉnh Vĩnh Long",OLD,D01.86,"Tòa án nhân dân tỉnh Vĩnh Long",D01.153.01,"Tòa án nhân dân khu vực 1 - Vĩnh Long","Tỉnh Vĩnh Long"
D01.86.02,"Tòa án nhân dân thị xã Bình Minh, tỉnh Vĩnh Long",OLD,D01.86,"Tòa án nhân dân tỉnh Vĩnh Long",D01.153.03,"Tòa án nhân dân khu vực 3 - Vĩnh Long","Tỉnh Vĩnh Long"
D01.86.04,"Tòa án nhân dân huyện Long Hồ, tỉnh Vĩnh Long",OLD,D01.86,"Tòa án nhân dân tỉnh Vĩnh Long",D01.153.01,"Tòa án nhân dân khu vực 1 - Vĩnh Long","Tỉnh Vĩnh Long"
D01.86.05,"Tòa án nhân dân huyện Mang Thít, tỉnh Vĩnh Long",OLD,D01.86,"Tòa án nhân dân tỉnh Vĩnh Long",D01.153.02,"Tòa án nhân dân khu vực 2 - Vĩnh Long","Tỉnh Vĩnh Long"
D01.86.06,"Tòa án nhân dân huyện Tam Bình, tỉnh Vĩnh Long",OLD,D01.86,"Tòa án nhân dân tỉnh Vĩnh Long",D01.153.02,"Tòa án nhân dân khu vực 2 - Vĩnh Long","Tỉnh Vĩnh Long"
D01.86.07,"Tòa án nhân dân huyện Trà Ôn, tỉnh Vĩnh Long",OLD,D01.86,"Tòa án nhân dân tỉnh Vĩnh Long",D01.153.04,"Tòa án nhân dân khu vực 4 - Vĩnh Long","Tỉnh Vĩnh Long"
D01.86.08,"Tòa án nhân dân huyện Vũng Liêm, tỉnh Vĩnh Long",OLD,D01.86,"Tòa án nhân dân tỉnh Vĩnh Long",D01.153.04,"Tòa án nhân dân khu vực 4 - Vĩnh Long","Tỉnh Vĩnh Long"
D01.87.01,"Tòa án nhân dân thành phố Vĩnh Yên, tỉnh Vĩnh Phúc",OLD,D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",D01.144.09,"Tòa án nhân dân khu vực 9 - Phú Thọ","Tỉnh Vĩnh Phúc"
D01.87.02,"Tòa án nhân dân thành phố Phúc Yên, tỉnh Vĩnh Phúc",OLD,D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",D01.144.08,"Tòa án nhân dân khu vực 8 - Phú Thọ","Tỉnh Vĩnh Phúc"
D01.87.03,"Tòa án nhân dân huyện Bình Xuyên, tỉnh Vĩnh Phúc",OLD,D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",D01.144.08,"Tòa án nhân dân khu vực 8 - Phú Thọ","Tỉnh Vĩnh Phúc"
D01.87.04,"Tòa án nhân dân huyện Lập Thạch, tỉnh Vĩnh Phúc",OLD,D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",D01.144.11,"Tòa án nhân dân khu vực 11 - Phú Thọ","Tỉnh Vĩnh Phúc"
D01.87.05,"Tòa án nhân dân huyện Sông Lô, tỉnh Vĩnh Phúc",OLD,D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",D01.144.11,"Tòa án nhân dân khu vực 11 - Phú Thọ","Tỉnh Vĩnh Phúc"
D01.87.06,"Tòa án nhân dân huyện Tam Đảo, tỉnh Vĩnh Phúc",OLD,D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",D01.144.09,"Tòa án nhân dân khu vực 9 - Phú Thọ","Tỉnh Vĩnh Phúc"
D01.87.07,"Tòa án nhân dân huyện Tam Dương, tỉnh Vĩnh Phúc",OLD,D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",D01.144.09,"Tòa án nhân dân khu vực 9 - Phú Thọ","Tỉnh Vĩnh Phúc"
D01.87.08,"Tòa án nhân dân huyện Vĩnh Tường, tỉnh Vĩnh Phúc",OLD,D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",D01.144.10,"Tòa án nhân dân khu vực 10 - Phú Thọ","Tỉnh Vĩnh Phúc"
D01.87.09,"Tòa án nhân dân huyện Yên Lạc, tỉnh Vĩnh Phúc",OLD,D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",D01.144.10,"Tòa án nhân dân khu vực 10 - Phú Thọ","Tỉnh Vĩnh Phúc"
D01.88.01,"Tòa án nhân dân thành phố Yên Bái, tỉnh Yên Bái",OLD,D01.88,"Tòa án nhân dân tỉnh Yên Bái",D01.140.01,"Tòa án nhân dân khu vực 1 - Lào Cai","Tỉnh Yên Bái"
D01.88.02,"Tòa án nhân dân thị xã Nghĩa Lộ, tỉnh Yên Bái",OLD,D01.88,"Tòa án nhân dân tỉnh Yên Bái",D01.140.05,"Tòa án nhân dân khu vực 5 - Lào Cai","Tỉnh Yên Bái"
D01.88.03,"Tòa án nhân dân huyện Lục Yên, tỉnh Yên Bái",OLD,D01.88,"Tòa án nhân dân tỉnh Yên Bái",D01.140.02,"Tòa án nhân dân khu vực 2 - Lào Cai","Tỉnh Yên Bái"
D01.88.04,"Tòa án nhân dân huyện Mù Cang Chải, tỉnh Yên Bái",OLD,D01.88,"Tòa án nhân dân tỉnh Yên Bái",D01.140.04,"Tòa án nhân dân khu vực 4 - Lào Cai","Tỉnh Yên Bái"
D01.88.05,"Tòa án nhân dân huyện Trạm Tấu, tỉnh Yên Bái",OLD,D01.88,"Tòa án nhân dân tỉnh Yên Bái",D01.140.05,"Tòa án nhân dân khu vực 5 - Lào Cai","Tỉnh Yên Bái"
D01.88.06,"Tòa án nhân dân huyện Trấn Yên, tỉnh Yên Bái",OLD,D01.88,"Tòa án nhân dân tỉnh Yên Bái",D01.140.03,"Tòa án nhân dân khu vực 3 - Lào Cai","Tỉnh Yên Bái"
D01.88.07,"Tòa án nhân dân huyện Văn Chấn, tỉnh Yên Bái",OLD,D01.88,"Tòa án nhân dân tỉnh Yên Bái",D01.140.04,"Tòa án nhân dân khu vực 4 - Lào Cai","Tỉnh Yên Bái"
D01.88.08,"Tòa án nhân dân huyện Văn Yên, tỉnh Yên Bái",OLD,D01.88,"Tòa án nhân dân tỉnh Yên Bái",D01.140.03,"Tòa án nhân dân khu vực 3 - Lào Cai","Tỉnh Yên Bái"
D01.88.09,"Tòa án nhân dân huyện Yên Bình, tỉnh Yên Bái",OLD,D01.88,"Tòa án nhân dân tỉnh Yên Bái",D01.140.02,"Tòa án nhân dân khu vực 2 - Lào Cai","Tỉnh Yên Bái"
D01,"Tòa án nhân dân tối cao",NEW,NULL,NULL,D01,"Tòa án nhân dân tối cao","Thành phố Hà Nội"
D01.100,"Tòa Phúc thẩm Tòa án nhân dân tối cao tại Hà Nội",NEW,D01,"Tòa án nhân dân tối cao",D01.100,"Tòa Phúc thẩm Tòa án nhân dân tối cao tại Hà Nội","Thành phố Hà Nội"
D01.101,"Tòa Phúc thẩm Tòa án nhân dân tối cao tại Đà Nẵng",NEW,D01,"Tòa án nhân dân tối cao",D01.101,"Tòa Phúc thẩm Tòa án nhân dân tối cao tại Đà Nẵng","Thành phố Đà Nẵng"
D01.102,"Tòa Phúc thẩm Tòa án nhân dân tối cao tại Thành phố Hồ Chí Minh",NEW,D01,"Tòa án nhân dân tối cao",D01.102,"Tòa Phúc thẩm Tòa án nhân dân tối cao tại Thành phố Hồ Chí Minh","Thành phố Hồ chí Minh"
D01.120,"Tòa án nhân dân tỉnh An Giang",NEW,NULL,NULL,D01.120,"Tòa án nhân dân tỉnh An Giang","Tỉnh An Giang"
D01.121,"Tòa án nhân dân tỉnh Bắc Ninh",NEW,NULL,NULL,D01.121,"Tòa án nhân dân tỉnh Bắc Ninh","Tỉnh Bắc Ninh"
D01.122,"Tòa án nhân dân tỉnh Cà Mau",NEW,NULL,NULL,D01.122,"Tòa án nhân dân tỉnh Cà Mau","Tỉnh Cà Mau"
D01.123,"Tòa án nhân dân tỉnh Cao Bằng",NEW,NULL,NULL,D01.123,"Tòa án nhân dân tỉnh Cao Bằng","Tỉnh Cao Bằng"
D01.124,"Tòa án nhân dân Thành phố Cần Thơ",NEW,NULL,NULL,D01.124,"Tòa án nhân dân Thành phố Cần Thơ","Thành phố Cần Thơ"
D01.125,"Tòa án nhân dân Thành phố Đà Nẵng",NEW,NULL,NULL,D01.125,"Tòa án nhân dân Thành phố Đà Nẵng","Thành phố Đà Nẵng"
D01.126,"Tòa án nhân dân tỉnh Đắk Lắk",NEW,NULL,NULL,D01.126,"Tòa án nhân dân tỉnh Đắk Lắk","Tỉnh Đắk Lắk"
D01.127,"Tòa án nhân dân tỉnh Điện Biên",NEW,NULL,NULL,D01.127,"Tòa án nhân dân tỉnh Điện Biên","Tỉnh Điện Biên"
D01.128,"Tòa án nhân dân tỉnh Đồng Nai",NEW,NULL,NULL,D01.128,"Tòa án nhân dân tỉnh Đồng Nai","Tỉnh Đồng Nai"
D01.129,"Tòa án nhân dân tỉnh Đồng Tháp",NEW,NULL,NULL,D01.129,"Tòa án nhân dân tỉnh Đồng Tháp","Tỉnh Đồng Tháp"
D01.130,"Tòa án nhân dân tỉnh Gia Lai",NEW,NULL,NULL,D01.130,"Tòa án nhân dân tỉnh Gia Lai","Tỉnh Gia Lai"
D01.131,"Tòa án nhân dân Thành phố Hà Nội",NEW,NULL,NULL,D01.131,"Tòa án nhân dân Thành phố Hà Nội","Thành phố Hà Nội"
D01.132,"Tòa án nhân dân tỉnh Hà Tĩnh",NEW,NULL,NULL,D01.132,"Tòa án nhân dân tỉnh Hà Tĩnh","Tỉnh Hà Tĩnh"
D01.133,"Tòa án nhân dân Thành phố Hải Phòng",NEW,NULL,NULL,D01.133,"Tòa án nhân dân Thành phố Hải Phòng","Thành phố Hải Phòng"
D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh",NEW,NULL,NULL,D01.134,"Tòa án nhân dân Thành phố Hồ Chí Minh","Thành phố Hồ Chí Minh"
D01.135,"Tòa án nhân dân Thành phố Huế",NEW,NULL,NULL,D01.135,"Tòa án nhân dân Thành phố Huế","Thành phố Huế"
D01.136,"Tòa án nhân dân tỉnh Hưng Yên",NEW,NULL,NULL,D01.136,"Tòa án nhân dân tỉnh Hưng Yên","Tỉnh Hưng Yên"
D01.137,"Tòa án nhân dân tỉnh Khánh Hòa",NEW,NULL,NULL,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa","Tỉnh Khánh Hòa"
D01.138,"Tòa án nhân dân tỉnh Lai Châu",NEW,NULL,NULL,D01.138,"Tòa án nhân dân tỉnh Lai Châu","Tỉnh Lai Châu"
D01.139,"Tòa án nhân dân tỉnh Lạng Sơn",NEW,NULL,NULL,D01.139,"Tòa án nhân dân tỉnh Lạng Sơn","Tỉnh Lạng Sơn"
D01.140,"Tòa án nhân dân tỉnh Lào Cai",NEW,NULL,NULL,D01.140,"Tòa án nhân dân tỉnh Lào Cai","Tỉnh Lào Cai"
D01.141,"Tòa án nhân dân tỉnh Lâm Đồng",NEW,NULL,NULL,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng","Tỉnh Lâm Đồng"
D01.142,"Tòa án nhân dân tỉnh Nghệ An",NEW,NULL,NULL,D01.142,"Tòa án nhân dân tỉnh Nghệ An","Tỉnh Nghệ An"
D01.143,"Tòa án nhân dân tỉnh Ninh Bình",NEW,NULL,NULL,D01.143,"Tòa án nhân dân tỉnh Ninh Bình","Tỉnh Ninh Bình"
D01.144,"Tòa án nhân dân tỉnh Phú Thọ",NEW,NULL,NULL,D01.144,"Tòa án nhân dân tỉnh Phú Thọ","Tỉnh Phú Thọ"
D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi",NEW,NULL,NULL,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi","Tỉnh Quảng Ngãi"
D01.146,"Tòa án nhân dân tỉnh Quảng Ninh",NEW,NULL,NULL,D01.146,"Tòa án nhân dân tỉnh Quảng Ninh","Tỉnh Quảng Ninh"
D01.147,"Tòa án nhân dân tỉnh Quảng Trị",NEW,NULL,NULL,D01.147,"Tòa án nhân dân tỉnh Quảng Trị","Tỉnh Quảng Trị"
D01.148,"Tòa án nhân dân tỉnh Sơn La",NEW,NULL,NULL,D01.148,"Tòa án nhân dân tỉnh Sơn La","Tỉnh Sơn La"
D01.149,"Tòa án nhân dân tỉnh Tây Ninh",NEW,NULL,NULL,D01.149,"Tòa án nhân dân tỉnh Tây Ninh","Tỉnh Tây Ninh"
D01.150,"Tòa án nhân dân tỉnh Thái Nguyên",NEW,NULL,NULL,D01.150,"Tòa án nhân dân tỉnh Thái Nguyên","Tỉnh Thái Nguyên"
D01.151,"Tòa án nhân dân tỉnh Thanh Hóa",NEW,NULL,NULL,D01.151,"Tòa án nhân dân tỉnh Thanh Hóa","Tỉnh Thanh Hóa"
D01.152,"Tòa án nhân dân tỉnh Tuyên Quang",NEW,NULL,NULL,D01.152,"Tòa án nhân dân tỉnh Tuyên Quang","Tỉnh Tuyên Quang"
D01.153,"Tòa án nhân dân tỉnh Vĩnh Long",NEW,NULL,NULL,D01.153,"Tòa án nhân dân tỉnh Vĩnh Long","Tỉnh Vĩnh Long"
D01.120.01,"Tòa án nhân dân khu vực 1 - An Giang ",NEW,D01.120,"Tòa án nhân dân tỉnh An Giang",D01.120.01,"Tòa án nhân dân khu vực 1 - An Giang ","Tỉnh An Giang"
D01.120.02,"Tòa án nhân dân khu vực 2 - An Giang ",NEW,D01.120,"Tòa án nhân dân tỉnh An Giang",D01.120.02,"Tòa án nhân dân khu vực 2 - An Giang ","Tỉnh An Giang"
